id;first_name;last_name;dob;address;passport;score
1;Pattie;MacGyver;2022-07-21;Mouse Sahara transition;markets pink Chicken;76948
2;Ardella;Deckow;2022-07-21;Fish Managed Officer;Djibouti;24845
3;Rocio;Howe;2022-07-21;TCP;deposit ROI methodologies;95505
4;Jarrell;Rogahn;2022-07-22;card;Principal Investment;63911
5;Pedro;Morissette;2022-07-21;context-sensitive customer;access Berkshire;2808
6;King;Mertz;2022-07-22;Guinea SDD;Soft;52346
7;Pamela;Torp;2022-07-21;Money;impactful Marino system;16922
8;Maximilian;Lowe;2022-07-22;communities Checking;primary calculating;4671
9;Jordyn;Price;2022-07-21;red help-desk Chicken;optimizing;43910
10;Dee;Runte;2022-07-21;Books Pound Diverse;Dale dynamic Dollar;27226

